"Name","Symbol","Circulating Supply","Dollar Volume"
"BlockCAT","CAT","7360121.11185","69187.5"
"BLUE","BLUE","33509711.0","56901.5"
"Myriad","XMY","1535440500.0","269833.0"
"Syndicate","SYNX","16550390.0","1211500.0"
"CasinoCoin","CSC","38601187.0","907.955"
"ECC","ECC","25000000000.0","3330.57"
"COSS","COSS","83000000.0","370497.0"
"CVCoin","CVCOIN","9837033.0","6260.37"
"Mintcoin","MINT","24947260808.0","139887.0"
"DAO.Casino","BET","167270820.688","15878.5"
"Pluton","PLU","849999.5","5107.88"
"E-Dinar Coin","EDR","886211987.679","667859.0"
"DecentBet","DBET","66589163.2318","16928.2"
"Sexcoin","SXC","125389069.933","52679.9"
"Lampix","PIX","113322017.0","28091.3"
"VIBE","VIBE","188379569.198","25302.9"
"Circuits of V...","COVAL","1000000000.0","341973.0"
"PutinCoin","PUT","316191398.0","5586.66"
"Astro","ASTRO","3313833.18","11313.6"
"Memetic","MEME","16458796.1263","2380550.0"
"NVO","NVST","15000000.0","3112.33"
"Qwark","QWARK","41957344.8259","250731.0"
"Spectrecoin","XSPEC","20785264.0912","33337.9"
"APX","APX",,"125709.0"
"Bitswift","SWIFT","4069196.94667","134758.0"
"Voise","VOISE","643012000.0","750109.0"
"ZrCoin","ZRC",,"15472.9"
"EverGreenCoin","EGC","13321300.5675","10796900.0"
"Divi","DIVX","5143006.61546","119016.0"
"HTMLCOIN","HTML5","40659020000.0","30735.2"
"Synergy","SNRG","3248852.83315","71543.2"
"ArtByte","ABY",,"174040.0"
"Terracoin","TRC","21813013.8555","18196.9"
"LAToken","LA","40323010.0","10625.8"
"TrustPlus","TRUST","32086595.2637","101142.0"
"DopeCoin","DOPE","111085648.166","859285.0"
"DCORP","DRP","8094002.47","43383.4"
"SuperCoin","SUPER","47154116.272","33784.6"
"ChainCoin","CHC","14171372.1499","39748.5"
"TrezarCoin","TZC","81507800.0","24350.5"
"GoldCoin","GLD","40675236.0","129162.0"
"Elixir","ELIX","26060656.4976","78689.9"
"vTorrent","VTR","10815965.8227","1604530.0"
"Primalbase Token","PBT","1000.0","303448.0"
